,date,permno,ret,prc,shrout
3400386,2005-11-30,10107,0.0801556184887886,27.68000030517578,10644674.0
3409361,2005-12-30,10107,-0.055274590849876404,26.149999618530273,10333369.0
3416585,2006-01-31,10107,0.07648183405399323,28.149999618530273,10333369.0
3419439,2006-02-28,10107,-0.042273491621017456,26.8700008392334,10333369.0
3425748,2006-03-31,10107,0.012653451412916183,27.209999084472656,10225000.0
3436783,2006-04-28,10107,-0.11245863884687424,24.149999618530273,10201203.0
3438996,2006-05-31,10107,-0.05838509276509285,22.649999618530273,10201203.0
3445720,2006-06-30,10107,0.028697555884718895,23.299999237060547,10062000.0
3454865,2006-07-31,10107,0.03261803835630417,24.059999465942383,10062000.0
3462314,2006-08-31,10107,0.07190363109111786,25.700000762939453,9969992.0
3471873,2006-09-29,10107,0.06420231610536575,27.350000381469727,9820000.0
3477739,2006-10-31,10107,0.0497257299721241,28.709999084472656,9830460.0
3482180,2006-11-30,10107,0.026123356074094772,29.360000610351562,9830460.0
3492160,2006-12-29,10107,0.01702997274696827,29.860000610351562,9777000.0
3498700,2007-01-31,10107,0.033489618450403214,30.860000610351562,9792314.0
3508491,2007-02-28,10107,-0.08392743021249771,28.170000076293945,9792314.0
3508997,2007-03-30,10107,-0.010649600066244602,27.8700008392334,9572000.0
3515747,2007-04-30,10107,0.07427340000867844,29.940000534057617,9566808.0
3526994,2007-05-31,10107,0.028393425047397614,30.690099716186523,9566808.0
3535690,2007-06-29,10107,-0.039755504578351974,29.469999313354492,9380000.0
3543325,2007-07-31,10107,-0.016287734732031822,28.989999771118164,9380000.0
3546779,2007-08-31,10107,-0.005519152618944645,28.729999542236328,9375492.0
3553501,2007-09-28,10107,0.025408964604139328,29.459999084472656,9355000.0
3563299,2007-10-31,10107,0.2494909167289734,36.810001373291016,9355439.0
3570885,2007-11-30,10107,-0.08421631902456284,33.599998474121094,9355439.0
3576735,2007-12-31,10107,0.0595238134264946,35.599998474121094,9329000.0
3585201,2008-01-31,10107,-0.08426966518163681,32.599998474121094,9306980.0
3593552,2008-02-29,10107,-0.16227297484874725,27.199899673461914,9306980.0
3598804,2008-03-31,10107,0.04338616877794266,28.3799991607666,9310000.0
3603066,2008-04-30,10107,0.0049330973997712135,28.520000457763672,9313293.0
3612104,2008-05-30,10107,-0.0031557069160044193,28.31999969482422,9313293.0
3622048,2008-06-30,10107,-0.02860167622566223,27.510000228881836,9151000.0
3624640,2008-07-31,10107,-0.06506728380918503,25.719999313354492,9130293.0
3633280,2008-08-29,10107,0.06531888246536255,27.290000915527344,9130293.0
3640752,2008-09-30,10107,-0.021986089646816254,26.690000534057617,8977000.0
3649651,2008-10-31,10107,-0.16335707902908325,22.329999923706055,8895573.0
3652792,2008-11-28,10107,-0.08866997808218002,20.219999313354492,8895573.0
3661851,2008-12-31,10107,-0.038575608283281326,19.440000534057617,8889000.0
3668428,2009-01-30,10107,-0.12037037312984467,17.100000381469727,8890563.0
3674208,2009-02-27,10107,-0.04795325919985771,16.149999618530273,8890563.0
3682527,2009-03-31,10107,0.13746137917041779,18.3700008392334,8898000.0
3687081,2009-04-30,10107,0.10288509726524353,20.260000228881836,8899720.0
3697498,2009-05-29,10107,0.03751229867339134,20.889999389648438,8899720.0
3699973,2009-06-30,10107,0.1378650665283203,23.770000457763672,8908000.0
3707697,2009-07-31,10107,-0.01051745843142271,23.520000457763672,8910674.0
3717291,2009-08-31,10107,0.053571391850709915,24.649999618530273,8910674.0
3720657,2009-09-30,10107,0.04340769723057747,25.719999313354492,8900000.0
3732319,2009-10-30,10107,0.07814931124448776,27.729999542236328,8879121.0
3738996,2009-11-30,10107,0.06527227908372879,29.40999984741211,8879121.0
3742843,2009-12-31,10107,0.036382172256708145,30.479999542236328,8811000.0
3752624,2010-01-29,10107,-0.07545929402112961,28.18000030517578,8770461.0
3759421,2010-02-26,10107,0.022001411765813828,28.670000076293945,8770461.0
3765077,2010-03-31,10107,0.021538203582167625,29.287500381469727,8762000.0
3768980,2010-04-30,10107,0.042594943195581436,30.53499984741211,8763839.0
3775514,2010-05-28,10107,-0.15081056952476501,25.799999237060547,8763839.0
3784499,2010-06-30,10107,-0.10813950002193451,23.010000228881836,8653567.0
3791175,2010-07-30,10107,0.121686190366745,25.809999465942383,8653567.0
3796136,2010-08-31,10107,-0.08581942319869995,23.46500015258789,8653567.0
3804871,2010-09-30,10107,0.04368206486105919,24.489999771118164,8562000.0
3808155,2010-10-29,10107,0.08881180733442307,26.665000915527344,8555523.0
3815428,2010-11-30,10107,-0.04678421840071678,25.25749969482422,8555523.0
3826808,2010-12-31,10107,0.10501831769943237,27.90999984741211,8403000.0
3828474,2011-01-31,10107,-0.006628429517149925,27.725000381469727,8402382.0
3840316,2011-02-28,10107,-0.03552751988172531,26.579999923706055,8402382.0
3846082,2011-03-31,10107,-0.04477052390575409,25.389999389648438,8431000.0
3854753,2011-04-29,10107,0.0208743866533041,25.920000076293945,8432767.0
3859774,2011-05-31,10107,-0.028935179114341736,25.010000228881836,8432767.0
3862897,2011-06-30,10107,0.03958415612578392,26.0,8376000.0
3873133,2011-07-29,10107,0.05384613946080208,27.399999618530273,8378266.0
3876227,2011-08-31,10107,-0.023357637226581573,26.600000381469727,8378266.0
3886503,2011-09-30,10107,-0.0642857477068901,24.889999389648438,8410000.0
3890701,2011-10-31,10107,0.06990758329629898,26.6299991607666,8412182.0
3902738,2011-11-30,10107,-0.03191886097192764,25.579999923706055,8412182.0
3908637,2011-12-30,10107,0.014855323359370232,25.959999084472656,8390771.0
3914951,2012-01-31,10107,0.13751932978630066,29.530000686645508,8390771.0
3920952,2012-02-29,10107,0.08161188662052155,31.739999771118164,8390771.0
3927982,2012-03-30,10107,0.016225622966885567,32.255001068115234,8400000.0
3932693,2012-04-30,10107,-0.007440758869051933,32.01499938964844,8400866.0
3937934,2012-05-31,10107,-0.08199278265237808,29.190000534057617,8400866.0
3947063,2012-06-29,10107,0.04796161502599716,30.59000015258789,8381000.0
3954548,2012-07-31,10107,-0.03661330044269562,29.469999313354492,8383397.0
3963920,2012-08-31,10107,0.05259587615728378,30.81999969482422,8383397.0
3970221,2012-09-28,10107,-0.03439323231577873,29.760000228881836,8422000.0
3975562,2012-10-31,10107,-0.04099459946155548,28.540000915527344,8416462.0
3981426,2012-11-30,10107,-0.059390366077423096,26.614999771118164,8416462.0
3988215,2012-12-31,10107,0.003558138618245721,26.709699630737305,8374000.0
3993214,2013-01-31,10107,0.027716565877199173,27.450000762939453,8376245.0
4000238,2013-02-28,10107,0.021129269152879715,27.799999237060547,8376245.0
4012076,2013-03-28,10107,0.02895684540271759,28.604999542236328,8349000.0
4018280,2013-04-30,10107,0.1571403294801712,33.099998474121094,8351107.0
4019984,2013-05-31,10107,0.06132940202951431,34.900001525878906,8351107.0
4033394,2013-06-28,10107,-0.010172015056014061,34.54499816894531,8328000.0
4038394,2013-07-31,10107,-0.07830360531806946,31.84000015258789,8329956.0
4042281,2013-08-30,10107,0.05621863529086113,33.400001525878906,8329956.0
4048141,2013-09-30,10107,-0.003592896508052945,33.279998779296875,8346000.0
4054994,2013-10-31,10107,0.06385216861963272,35.404998779296875,8347968.0
4065312,2013-11-29,10107,0.08487508445978165,38.130001068115234,8347968.0
4073300,2013-12-31,10107,-0.01888280175626278,37.40999984741211,8300000.0
4079107,2014-01-31,10107,0.011494261212646961,37.84000015258789,8300724.0
4084175,2014-02-28,10107,0.019820328801870346,38.310001373291016,8300724.0
4092613,2014-03-31,10107,0.06995563209056854,40.9900016784668,8260000.0
4100278,2014-04-30,10107,-0.014393758028745651,40.400001525878906,8260412.0
4106221,2014-05-30,10107,0.020296957343816757,40.939998626708984,8260412.0
4111788,2014-06-30,10107,0.018563805148005486,41.70000076293945,8239000.0
4124194,2014-07-31,10107,0.03501196950674057,43.15999984741211,8239849.0
4125144,2014-08-29,10107,0.05908249318599701,45.43000030517578,8239849.0
4137027,2014-09-30,10107,0.020471060648560524,46.36000061035156,8255024.0
4143483,2014-10-31,10107,0.012726491317152977,46.95000076293945,8242853.0
4151096,2014-11-28,10107,0.024920141324400902,47.810001373291016,8242853.0
4154862,2014-12-31,10107,-0.02844594419002533,46.45000076293945,8218000.0
4162240,2015-01-30,10107,-0.130247563123703,40.400001525878906,8203785.0
4171206,2015-02-27,10107,0.09306922554969788,43.849998474121094,8203785.0
4180174,2015-03-31,10107,-0.07286202162504196,40.654998779296875,8113000.0
4188869,2015-04-30,10107,0.19640882313251495,48.63999938964844,8089575.0
4194952,2015-05-29,10107,-0.03022201545536518,46.86000061035156,8089575.0
4200196,2015-06-30,10107,-0.05783182010054588,44.150001525878906,8027000.0
4207625,2015-07-31,10107,0.05775762349367142,46.70000076293945,7997981.0
4214120,2015-08-31,10107,-0.0614561066031456,43.52000045776367,7997981.0
4220356,2015-09-30,10107,0.017003627493977547,44.2599983215332,7986000.0
4231267,2015-10-30,10107,0.18933577835559845,52.63999938964844,7987913.0
4236102,2015-11-30,10107,0.03932369127869606,54.349998474121094,7987913.0
4246869,2015-12-31,10107,0.0207911878824234,55.47999954223633,7925000.0
4248655,2016-01-29,10107,-0.007029549218714237,55.09000015258789,7909303.0
4260132,2016-02-29,10107,-0.06988562643527985,50.880001068115234,7909303.0
4262547,2016-03-31,10107,0.0854952484369278,55.22999954223633,7870000.0
4271859,2016-04-29,10107,-0.09704871475696564,49.869998931884766,7860467.0
4283507,2016-05-31,10107,0.06998197734355927,53.0,7860467.0
4291583,2016-06-30,10107,-0.03452833741903305,51.16999816894531,7808000.0
4297357,2016-07-29,10107,0.10768032819032669,56.68000030517578,7792515.0
4306219,2016-08-31,10107,0.020112892612814903,57.459999084472656,7792515.0
4308186,2016-09-30,10107,0.002436466980725527,57.599998474121094,7779737.0
4319734,2016-10-31,10107,0.04027777537703514,59.91999816894531,7775351.0
4322295,2016-11-30,10107,0.012182912789285183,60.2599983215332,7775351.0
4332857,2016-12-30,10107,0.031198160722851753,62.13999938964844,7730000.0
4340365,2017-01-31,10107,0.04039269685745239,64.6500015258789,7727530.0
4345114,2017-02-28,10107,-0.0043310439214110374,63.97999954223633,7727530.0
4356152,2017-03-31,10107,0.029384199529886246,65.86000061035156,7723000.0
4360269,2017-04-28,10107,0.03947765752673149,68.45999908447266,7720515.0
4371792,2017-05-31,10107,0.025854473933577538,69.83999633789062,7720515.0
4375834,2017-06-30,10107,-0.013029726222157478,68.93000030517578,7708000.0
4381237,2017-07-31,10107,0.05469311773777008,72.69999694824219,7702244.0
4389178,2017-08-31,10107,0.033837687224149704,74.7699966430664,7702244.0
4399621,2017-09-29,10107,-0.0037448012735694647,74.48999786376953,7715433.0
4407787,2017-10-31,10107,0.1166599914431572,83.18000030517578,7714590.0
4414119,2017-11-30,10107,0.016951164230704308,84.16999816894531,7714590.0
4419091,2017-12-29,10107,0.016276616603136063,85.54000091552734,7705000.0
4429969,2018-01-31,10107,0.11070845276117325,95.01000213623047,7699793.0
4431965,2018-02-28,10107,-0.008630728349089622,93.7699966430664,7699793.0
4441265,2018-03-29,10107,-0.02666098065674305,91.2699966430664,7690000.0
4453547,2018-04-30,10107,0.024652132764458656,93.5199966430664,7683198.0
4459051,2018-05-31,10107,0.06137724593281746,98.83999633789062,7683198.0
4465354,2018-06-29,10107,-0.002326949965208769,98.61000061035156,7677000.0
4471272,2018-07-31,10107,0.07575298100709915,106.08000183105469,7668217.0
4484135,2018-08-31,10107,0.06287707388401031,112.33000183105469,7668217.0
4489391,2018-09-28,10107,0.018160784617066383,114.37000274658203,7680000.0
4496403,2018-10-31,10107,-0.06610129773616791,106.80999755859375,7676219.0
4505499,2018-11-30,10107,0.042505402117967606,110.88999938964844,7676219.0
4509378,2018-12-31,10107,-0.08404725044965744,101.56999969482422,7683000.0
4520723,2019-01-31,10107,0.028157927095890045,104.43000030517578,7672213.0
4525942,2019-02-28,10107,0.07718086987733841,112.02999877929688,7672213.0
4531481,2019-03-29,10107,0.052753761410713196,117.94000244140625,7666000.0
4543291,2019-04-30,10107,0.10734274238348007,130.60000610351562,7662818.0
4550570,2019-05-31,10107,-0.04946405440568924,123.68000030517578,7662818.0
4558899,2019-06-28,10107,0.08311777561903,133.9600067138672,7643000.0
